Reference,Publication year,Country (be specific),Latitude,Longitude,Ecosystem,Crops,DOI,Year,Country,State,Landscape,Topic,Sociality: Data Type,Nesting (location): Data Type,Nesting (ability): Data Type,Reproductive Strategy: Data Type,Body size: Data Type,Diet Breadth: Data Type,Voltinism: Data Type,Seasonality: Data Type,Tongue Length: Data Type,Other Functional Traits,Other Functional Traits: Data Type,Total Functional Traits Measured,Source of traits: literature?,Source of traits: own measurement/observations?,Source of traits: calculation from proxy?,Other traits: Data type,Number of bee species analyzed,Trait data available?
"Gruver, A., & CaraDonna, P. (2021). Chicago Bees: Urban Areas Support Diverse Bee Communities but With More Non-Native Bee Species Compared to Suburban Areas. Environmental Entomology, 50(4), 982–994. https://doi.org/10.1093/ee/nvab048",,,,,,,https://doi.org/10.1093/ee/nvab048,2021,USA,Illinois,Urban,Urbanization,categorical,categorical,NA,NA,numeric,categorical,NA,NA,NA,native/exotic status,NA,5,yes,no,no,categorical,83,no
"Guenat, S., Kunin, W. E., Dougill, A. J., & Dallimer, M. (2019). Effects of urbanisation and management practices on pollinators in tropical Africa. Journal of Applied Ecology, 56(1), 214–224. https://doi.org/10.1111/1365-2664.13270",,,,,,,https://doi.org/10.1111/1365-2664.13270,2019,Ghana,NA,Urban,Urbanization,categorical,categorical,NA,NA,numeric,categorical,NA,NA,categorical,habitat specialization,categorical,5,yes,yes,no,categorical,167,yes
"Gutiérrez-Chacón, C., Valderrama-A, C., & Klein, A.-M. (2020). Biological corridors as important habitat structures for maintaining bees in a tropical fragmented landscape. Journal of Insect Conservation, 24(1), 187–197. https://doi.org/10.1007/s10841-019-00205-2",2020,Colombia,N 4.6833333,W -75.66666666666667,sub-Andean forest sensu,.,https://doi.org/10.1007/s10841-019-00205-2,2020,Colombia,Quindio,Agroecosystem,Land use and management,categorical,categorical,categorical,NA,numeric,NA,NA,NA,NA,NA,NA,4,yes,yes,no,NA,41,yes
"Hall, M. A., Nimmo, D. G., Cunningham, S. A., Walker, K., & Bennett, A. F. (2019). The response of wild bees to tree cover and rural land use is mediated by species’ traits. Biological Conservation, 231, 1–12. https://doi.org/10.1016/j.biocon.2018.12.032",2019,"Australia, Victoria",S -36.93401585086397,E 146.26876539067126,rural landscapes,"cropping (wheat, oats, canola, legumes) and grazing (sheep and cattle)",https://doi.org/10.1016/j.biocon.2018.12.032,2019,Australia,NA,Agroecosystem,Land use and management,categorical,categorical,NA,NA,categorical,categorical,NA,numeric,NA,NA,NA,5,yes,yes,no,NA,59,no
"Hamblin, A. L., Youngsteadt, E., Lopez-Uribe, M. M., & Frank, S. D. (2017). Physiological thermal limits predict differential responses of bees to urban heat-island effects. Biology Letters, 13, 0125.",,,,,,,https://doi.org/10.1098/rsbl.2017.0125,2017,USA,North Carolina,Urban,Urbanization,categorical,categorical,NA,NA,numeric,NA,NA,NA,NA,NA,NA,3,yes,yes,no,NA,15,yes
"Harrison, T., Gibbs, J., & Winfree, R. (2018). Forest bees are replaced in agricultural and urban landscapes by native species with different phenologies and life-history traits. Global Change Biology, 24(1), 287–296. https://doi.org/10.1111/gcb.13921",,,,,,,https://doi.org/10.1111/gcb.13921,2018,USA,New Jersey,Natural; Agroecosystem; Urban,Urbanization,categorical,categorical,NA,categorical,numeric,categorical,NA,numeric,NA,NA,NA,6,yes,yes,no,NA,245,no
"Hass, A. L., Liese, B., Heong, K. L., Settele, J., Tscharntke, T., & Westphal, C. (2018). Plant-pollinator interactions and bee functional diversity are driven by agroforests in rice-dominated landscapes. Agriculture, Ecosystems & Environment, 253, 140–147. https://doi.org/10.1016/j.agee.2017.10.019",2018,"Luzon, the main island of the Philippines",N 16,E 121,Rice fields and agroforests,Rice,https://doi.org/10.1016/j.agee.2017.10.019,2018,Philippines,NA,Agroecosystem,Habitat fragmentation,NA,categorical,NA,NA,numeric,NA,NA,NA,numeric,NA,NA,3,yes,yes,yes,NA,31,yes
"Hevia, V., Carmona, C. P., Azcárate, F. M., Heredia, R., & González, J. A. (2021). Role of floral strips and semi-natural habitats as enhancers of wild bee functional diversity in intensive agricultural landscapes. Agriculture, Ecosystems & Environment, 319, 107544. https://doi.org/10.1016/j.agee.2021.107544",,,,,,,https://doi.org/10.1016/j.agee.2021.107544,2021,Spain,NA,Agroecosystem,Habitat fragmentation,NA,NA,NA,NA,numeric,categorical,NA,NA,NA,pilosity,NA,4,unspecified,yes,no,numeric,46,no
"Hoiss, B., Krauss, J., Potts, S. G., Roberts, S., & Steffan-Dewenter, I. (2012). Altitude acts as an environmental filter on phylogenetic composition, traits and diversity in bee communities. Proceedings of the Royal Society B: Biological Sciences, 279(1746), 4447–4456. https://doi.org/10.1098/rspb.2012.1581",,,,,,,https://doi.org/10.1098/rspb.2012.1581,2012,Germany,NA,Natural,Diversity,categorical,categorical,NA,categorical,numeric,categorical,categorical,NA,NA,NA,NA,6,yes,no,no,NA,87,yes
"Hopfenmüller, S., Steffan-Dewenter, I., & Holzschuh, A. (2014). Trait-Specific Responses of Wild Bee Communities to Landscape Composition, Configuration and Local Factors. PLoS ONE, 9(8), e104439. https://doi.org/10.1371/journal.pone.0104439",,,,,,,https://doi.org/10.1016/j.agee.2021.107544,2014,Germany,NA,Natural,Diversity,categorical,NA,categorical,NA,categorical,NA,NA,NA,NA,habitat specialization,categorical,4,yes,no,no,categorical,189,yes
"Hung, K. J., Ascher, J. S., Davids, J. A., & Holway, D. A. (2019). Ecological filtering in scrub fragments restructures the taxonomic and functional composition of native bee assemblages. Ecology, 100(5). https://doi.org/10.1002/ecy.2654",,,,,,,https://doi.org/10.1002/ecy.2654,2019,USA,California,Natural,Habitat fragmentation,categorical,categorical,categorical,NA,numeric,categorical,NA,categorical,numeric,NA,NA,7,yes,yes,yes,NA,160,yes
"Hung, K.-L. J., Sandoval, S. S., Ascher, J. S., & Holway, D. A. (2021). Joint Impacts of Drought and Habitat Fragmentation on Native Bee Assemblages in a California Biodiversity Hotspot. Insects, 12(2), 135. https://doi.org/10.3390/insects12020135",,,,,,,https://doi.org/10.3390/insects12020135,2021,USA,California,Natural; Urban,Habitat fragmentation,categorical,NA,NA,NA,numeric,categorical,NA,NA,NA,NA,NA,3,yes,no,no,NA,172,yes
"Ibanez, S. (2012). Optimizing size thresholds in a plant–pollinator interaction web: Towards a mechanistic understanding of ecological networks. Oecologia, 170(1), 233–242. https://doi.org/10.1007/s00442-012-2290-3",,,,,,,https://doi.org/10.1007/s00442-012-2290-3,2012,France,NA,Agroecosystem,Pollination,NA,NA,NA,NA,numeric,NA,NA,NA,numeric,NA,NA,2,no,yes,no,NA,20,yes
"Jacquemin, F., Violle, C., Munoz, F., Mahy, G., Rasmont, P., Roberts, S. P. M., Vray, S., & Dufrêne, M. (2020). Loss of pollinator specialization revealed by historical opportunistic data: Insights from network-based analysis. PLOS ONE, 15(7), e0235890. https://doi.org/10.1371/journal.pone.0235890",,,,,,,https://doi.org/10.1371/journal.pone.0235890,2020,Belgium,NA,Natural; Agroecosystem; Urban,Climate change; Land use and management,categorical,NA,categorical,NA,numeric,categorical,NA,,categorical,NA,NA,6,yes,no,no,NA,191,yes
"Jauker, B., Krauss, J., Jauker, F., & Steffan-Dewenter, I. (2013). Linking life history traits to pollinator loss in fragmented calcareous grasslands. Landscape Ecology, 28(1), 107–120. https://doi.org/10.1007/s10980-012-9820-6",,,,,,,https://doi.org/10.1007/s10980-012-9820-6,2013,Germany,NA,Agroecosystem,Habitat fragmentation,categorical,NA,categorical,NA,numeric,NA,NA,NA,NA,NA,NA,3,yes,yes,no,NA,109,yes
